wave,flux
579.7349067000001, ,1.4024465035453049
580.4012016, ,1.1161269170005057
581.0690204, ,1.6186782772622743
581.7383737, ,3.7861124752749338
582.4092722999999, ,8.309769313873463
583.0817268999999, ,7.564268812347637
583.7557482999999, ,11.608677287499685
584.4313472, ,16.168137448396074
585.1085343999999, ,15.60529114795429
585.7873207, ,21.52131936259817
586.4677171, ,22.10055826248953
587.1497343999999, ,24.629591699921626
587.8333835, ,23.04639591894709
588.5186752999999, ,22.92737700850273
589.2056208, ,29.59033605692745
589.8942308999999, ,27.496745646192192
590.5845168, ,26.11746957561053
591.2764894, ,26.84098995410895
591.9701597999999, ,24.230955271671032
592.665539, ,29.780906297405465
593.3626383, ,28.319649421345854
594.0614688, ,25.81519681836793
594.7620416, ,32.85660755657926
595.4643679, ,27.70154854898697
596.1684591, ,31.36415030719769
596.8743264, ,29.39152884219421
597.5819809999999, ,27.994423549464273
598.2914344, ,31.71902437127829
599.0026978, ,31.56167878949939
599.7157827000001, ,26.766764071053863
600.4307005, ,37.01850713677776
601.1474627, ,30.43305965590373
601.8660807, ,37.8766647271731
602.5865660000001, ,37.71635999105124
603.3089302999999, ,36.324159680179385
604.0331851, ,38.07042659336328
604.7593419, ,41.2026197931939
605.4874126, ,36.31111018855583
606.2174086, ,37.49680330862832
606.9493418, ,42.05483957851264
607.6832239, ,39.90509186142319
608.4190667, ,36.849126991888745
609.1568819, ,43.729653068681536
609.8966815, ,37.17703728627541
610.6384772000001, ,46.17463940515597
611.3822811000001, ,46.68605769229699
612.128105, ,44.06368906184875
612.8759610000001, ,51.998151092212886
613.625861, ,58.80043519478073
614.3778171, ,59.2521803020684
615.1318413, ,59.45248695499654
615.8879458, ,64.40391813494395
616.6461426, ,65.83511184962072
617.4064441, ,60.154259127180026
618.1688624, ,62.41686421842157
618.9334097, ,71.9426985848743
619.7000982000001, ,75.59978422500258
620.4689404000001, ,77.91761618071412
621.2399486, ,58.422710529093116
622.0131351, ,77.79015812596452
622.7885123, ,91.79673231143535
623.5660927, ,86.26473895468273
624.3458887999999, ,99.0363146021696
625.127913, ,77.93580478851472
625.9121779, ,94.65999195134735
626.698696, ,102.90166489209223
627.48748, ,116.14662325014696
628.2785426, ,113.4534667256461
629.0718962999999, ,149.90444277234712
629.8675538, ,165.67743924038783
630.6655279, ,181.97200446329984
631.4658314, ,210.7494980226581
632.268477, ,249.62574347103558
633.0734776, ,259.0275610384706
633.880846, ,333.67822293513296
634.6905951, ,430.48464894923285
635.5027378999999, ,509.38934307939684
636.3172871, ,610.7152185774364
637.1342559, ,742.40680607255
637.9536572000001, ,876.2680713301518
638.775504, ,1019.7211393326083
639.5998095, ,1225.7256753068104
640.4265866000001, ,1472.9555062123943
641.2558486, ,1668.7797371367315
642.0876085, ,1929.834463560036
642.9218795, ,2150.8232852083283
643.7586747, ,2475.019817946841
644.5980075, ,2702.3083923160943
645.4398911000001, ,3061.068721017682
646.2843386, ,3339.9007175637435
647.1313635, ,3669.3833078353523
647.980979, ,4067.109079591842
648.8331985, ,4321.456087423398
649.6880352999999, ,4669.583342018337
650.5455028, ,5047.4743832555705
651.4056144, ,5405.55470359732
652.2683836, ,5853.501224525226
653.1338237000001, ,6171.277299319959
654.0019482999999, ,6452.748178820811
654.8727708, ,6810.824077159305
655.7463047, ,7133.840765048269
656.6225636, ,7322.360464076454
657.501561, ,7460.444817836036
658.3833105, ,7539.969136676948
659.2678255, ,7618.956821624769
660.1551197000001, ,7527.826943288879
661.0452068, ,7504.334536208988
661.9381002, ,7352.778073393204
662.8338137000001, ,7033.973885418128
663.7323607999999, ,6796.238941234321
664.6337553, ,6527.382830801607
665.5380107000001, ,6350.2059210333655
666.4451407, ,6111.195066742431
667.355159, ,5942.436224553661
