wave,flux
579.7349067000001, ,-3.4320171884641706
580.4012016, ,0.10166735055344167
581.0690204, ,4.955258128773087
581.7383737, ,15.722761291465108
582.4092722999999, ,21.82502603325702
583.0817268999999, ,35.11587545033646
583.7557482999999, ,41.195816412645286
584.4313472, ,58.510904238289044
585.1085343999999, ,73.88151153431477
585.7873207, ,83.36877614498535
586.4677171, ,86.24036642616574
587.1497343999999, ,79.80681654394681
587.8333835, ,86.99888706371374
588.5186752999999, ,90.97514811842159
589.2056208, ,89.60356425674772
589.8942308999999, ,100.78008566077034
590.5845168, ,101.38812596500703
591.2764894, ,102.23849393917408
591.9701597999999, ,98.24943988228806
592.665539, ,105.43752490212393
593.3626383, ,97.51753944122237
594.0614688, ,101.36110427927969
594.7620416, ,116.55182800883465
595.4643679, ,109.59069443619958
596.1684591, ,113.30579426475296
596.8743264, ,114.74300378115524
597.5819809999999, ,116.23379104420505
598.2914344, ,114.63212283870187
599.0026978, ,126.35654774900776
599.7157827000001, ,128.15353331066606
600.4307005, ,124.50139707049313
601.1474627, ,130.7100849894552
601.8660807, ,140.405389845532
602.5865660000001, ,129.8995735704689
603.3089302999999, ,138.10178931517234
604.0331851, ,137.81277258732868
604.7593419, ,137.3575342205856
605.4874126, ,136.89819854880793
606.2174086, ,148.30179120778004
606.9493418, ,140.72697872220758
607.6832239, ,146.53976258942689
608.4190667, ,162.1364142198876
609.1568819, ,167.2600902601283
609.8966815, ,170.0827294290672
610.6384772000001, ,164.68918086904708
611.3822811000001, ,181.0763245570521
612.128105, ,199.01574230608216
612.8759610000001, ,193.60673918035752
613.625861, ,200.50054172924905
614.3778171, ,216.122863795816
615.1318413, ,226.55738479284
615.8879458, ,218.69468397346355
616.6461426, ,233.5037596618391
617.4064441, ,230.50527509063636
618.1688624, ,251.3908661971813
618.9334097, ,259.66344642204757
619.7000982000001, ,261.6957253050608
620.4689404000001, ,252.6287004356079
621.2399486, ,307.6623754082393
622.0131351, ,296.66495103486994
622.7885123, ,340.76672191129916
623.5660927, ,359.94086838943383
624.3458887999999, ,352.7644939484115
625.127913, ,402.42547413983095
625.9121779, ,389.6286619440421
626.698696, ,418.71154918170026
627.48748, ,443.4774373704717
628.2785426, ,488.6172097282983
629.0718962999999, ,537.9630765447271
629.8675538, ,595.4808767487847
630.6655279, ,682.028860326347
631.4658314, ,747.2001424790072
632.268477, ,901.3407202035356
633.0734776, ,1074.572784257947
633.880846, ,1266.9873252584928
634.6905951, ,1533.9869739827798
635.5027378999999, ,1873.9945701011136
636.3172871, ,2236.507605144211
637.1342559, ,2726.4917652482973
637.9536572000001, ,3236.475333433949
638.775504, ,3956.0220120298877
639.5998095, ,4547.050901921328
640.4265866000001, ,5403.643776501397
641.2558486, ,6234.882332088653
642.0876085, ,7243.1247006950625
642.9218795, ,8167.44756002914
643.7586747, ,9241.33201350356
644.5980075, ,10333.65936300754
645.4398911000001, ,11443.884682287498
646.2843386, ,12679.408072740862
647.1313635, ,13990.293794064297
647.980979, ,15377.987616927456
648.8331985, ,16547.173627003016
649.6880352999999, ,17852.591916172154
650.5455028, ,19373.39931316704
651.4056144, ,20705.46421083569
652.2683836, ,22199.683405920943
653.1338237000001, ,23683.719192045228
654.0019482999999, ,24974.332935629922
654.8727708, ,26082.528454137468
655.7463047, ,27220.226995196757
656.6225636, ,28046.160786775392
657.501561, ,28646.397578793727
658.3833105, ,28831.263196507018
659.2678255, ,28934.51165654145
660.1551197000001, ,28543.051424965917
661.0452068, ,27977.701479524283
661.9381002, ,27156.09493865328
662.8338137000001, ,26141.167742577032
663.7323607999999, ,25233.78545454624
664.6337553, ,24027.483784911485
665.5380107000001, ,23065.73345933044
666.4451407, ,22147.34874744921
667.355159, ,21365.837691134664
668.2680793, ,20796.959944700007
669.1839152000001, ,20250.76269045096
670.1026805, ,20095.983372486007
671.0243889, ,19967.516423456786
671.949054, ,20000.336810716773
672.8766895, ,19983.77388122672
673.8073092, ,20067.41711162775
674.7409267, ,20250.330906693256
675.6775557999999, ,20199.49686831864
676.6172101, ,20190.923455125725
677.5599033, ,20225.609338196307
678.5056492000001, ,20238.355168234863
679.4544612999999, ,20357.37659020192
680.4063535, ,20180.278882788094
681.3613392999999, ,20347.45421745559
682.3194324, ,20467.054753731183
683.2806465, ,20751.540162623234
684.2449952000001, ,21044.409462612926
685.2124921, ,21287.658579420684
686.1831509, ,21550.091045751506
687.1569850999999, ,22121.788350848397
688.1340083, ,22438.26254804983
689.1142341, ,22814.51873449727
690.097676, ,23466.77153804928
691.0843474999999, ,23880.552942018647
692.0742622, ,24439.651747488926
693.0674334, ,24947.78677385198
694.0638748, ,25541.552133142934
695.0635996, ,26100.229171743988
696.0666212, ,26633.00364232651
697.0729531000001, ,27218.4599932946
698.0826086, ,27759.67586877609
699.0956008999999, ,28216.3004908507
700.1119432999999, ,28720.9713963582
701.1316491, ,28955.213030035226
702.1547314, ,29393.71959206709
703.1812034, ,29502.764286205063
704.2110782000001, ,29463.038759603085
705.2443688999999, ,29345.102216559662
706.2810885, ,29119.531962612382
707.3212499, ,29037.028841391537
708.3648661000001, ,28529.63440155105
709.41195, ,28257.983778496135
710.4625143999999, ,27959.70582159859
711.5165721, ,27683.269243598712
712.5741357, ,27540.689885690063
713.6352181, ,27250.0684784043
714.6998317000001, ,27169.916044910107
715.7679891, ,27192.8569363821
716.8397027999999, ,27417.22815022261
717.9149852, ,27591.900287273464
718.9938487000001, ,27823.347536713743
720.0763055, ,28301.97824266529
721.162368, ,28926.565411223288
722.2520481, ,29653.828241532494
723.3453581, ,30526.785586304715
724.4423098, ,31388.27915231587
725.5429153, ,32301.15014135021
726.6471863, ,33180.30563934499
727.7551346, ,34447.22570578938
728.866772, ,35657.49658242299
729.9821099, ,36563.12881959644
731.1011599, ,37609.42626550076
732.2239335, ,38662.65702259621
