FIND_NAME,MAIN_ID,OTYPE,SP_TYPE,ID_Gaia,IDS,OTYPES,Gaia DR3
StHa55,EM* StHA   55,Mira,,Gaia DR3 3321366590173335424,IRAS 05440+0642|ASAS J054642+0643.7|ASAS J054642+0643.8|ATO J086.6753+06.7297|EM* StHA   55|2MASS J05464207+0643469|TIC 156354929|UCAC2  34057339|WISEA J054642.07+064347.1|WISE J054642.08+064347.4|[LC2007] 58|[WWV2004] J0546421+064348|Gaia DR3 3321366590173335424|Gaia DR2 3321366590173335424,Mi*|LP*|V*|LP*|SB*|LP*|MIR|V*|Em*|NIR|*|C*?|IR|LP?|Opt,3321366590173335424
GH Gem,V* GH Gem,Symbiotic*,,Gaia DR3 3160625132721733888,SV* SON  3566|AN  241.1943|ATO J106.0532+12.0595|CSV    950|GSC 00757-02117|2MASS J07041277+1203342|TIC 261877049|V* GH Gem|AAVSO 0658+12|Gaia DR3 3160625132721733888|Gaia DR2 3160625132721733888,Sy*|V*|NIR|V*|*|Opt,3160625132721733888
V503Her,V* V503 Her,Symbiotic*,,Gaia DR3 4557410314849153920,SV* P  4385|AN  170.1936|ASAS J173640+2318.2|ATO J264.1685+23.3032|GSC 02076-01528|2MASS J17364046+2318117|ROTSE1 J173640.43+231812.0|TIC 310723681|TYC 2076-1528-1|V* V503 Her|AAVSO 1732+23|Gaia DR3 4557410314849153920|Gaia DR1 4557410310549419776|Gaia DR2 4557410314849153920,LP*|Sy*|V*|Pu*|NIR|V*|*|Opt,4557410314849153920
Hen2-442,Hen 2-442,PlanetaryNeb,,Gaia DR2 2022052808961769088,Hen 2-442|AKARI-IRC-V1 J1939433+262933|GSC2 N030100288686|IRAS 19376+2622|2MASS J19394335+2629330|NSV 12270|PK 061+02  1|PN G061.8+02.1|PN M  4-16|PN ARO  157|TIC 215145252|UCAC3 233-201618|WISEA J193943.35+262932.8|WISE J193943.34+262933.5|Gaia DR2 2022052808961769088|Gaia DR3 2022052808961769088,PN|NIR|MIR|V*|*|IR,2022052808961769088
V850 Aql,V* V850 Aql,Symbiotic*,O-rich,Gaia DR2 4263728319553777408,SV* SON  4396|CSV   4646|IRAS 19210+0032|2MASS J19233466+0037583|PK 037-06  2|PN ARO  320|PN K  4-26|TIC 183215826|V* V850 Aql|Gaia DR2 4263728319553777408|Gaia DR3 4263728319553777408,Sy*|Em*|Mas|AB*|LP*|NIR|PN|V*|*|IR|LP?|Mi?,4263728319553777408
Hen2-379,PN M  1-44,PlanetaryNeb,Be,Gaia DR2 4052553745525657600,ESO 522-11|GSC2 S3012333276|Hen 2-379|IRAS 18131-2705|2MASS J18161733-2704305|PK 004-04  2|PN G004.9-04.9|PN VV  165|PN VV'  380|PN M  1-44|SCM 198|SS73 150|TIC 378782627|WRAY 16-399|Gaia DR2 4052553745525657600|Gaia DR3 4052553745525657600,PN|NIR|Em*|*|G|IR,4052553745525657600
AS280,EM* AS  280,Symbiotic*,Me,Gaia DR2 4039688527424294144,UCAC2  17802050|EM* AS  280|ESO 394-32|Hen 2-354|2MASS J18095230-3319499|MHA 304-17|PK 358-06  1|SS73 136|TIC 57477649|UCAC3 114-354293|UCAC4 284-155580|WISEA J180952.31-331950.5|WISE J180952.32-331950.5|WRAY 16-375|Gaia DR2 4039688527424294144|Gaia DR3 4039688527424294144,Sy*|MIR|PN|Em*|NIR|EmO|*|G,4039688527424294144
AS288,PN H  2-43,PlanetaryNeb,,Gaia DR2 4050670827750135040,ESO 456-75|EM* AS  288|GSC2 S301232116082|Haro 3-43|Hen 2-366|IRAS 18095-2820|2MASS J18124799-2819596|MHA 304-119|PK 003-04  9|PN G003.4-04.8|PN H  2-43|PN VV'  367|TIC 267797390|WRAY 16-388|Gaia DR2 4050670827750135040|Gaia DR3 4050670827750135040,PN|Em*|NIR|EmO|*|G|IR|PN?,4050670827750135040
AS241,EM* AS  241,Symbiotic*,,Gaia DR2 5961347541020297856,2MASS J17451423-3817259|EM* AS  241|ESO 334-7|Haro 3-19|IRAS 17415-3816|MHA 363-30|PK 351-04  1|PN H  2-19|PN Sa  3-70|PN VV'  238|TIC 153022322|WRAY 16-302|Gaia DR2 5961347541020297856|Gaia DR3 5961347541020297856,LP*|Sy*|PN|Em*|EmO|NIR|*|G|IR|PN?,5961347541020297856
ZZ Cmi,V* ZZ CMi,LongPeriodV*,M6I-IIep,Gaia DR3 3155368612444708096,BD+09  1633|AN  306.1934|DO  2156|GCRV  4915|GSC 00763-00273|HIC  35915|HIP 35915|IRAS 07214+0859|IRC +10162|2MASS J07241400+0853518|SV* P  3026|TIC 453173127|TYC  763-273-1|V* ZZ CMi|WEB  7153|AAVSO 0718+09|Gaia DR3 3155368612444708096|Gaia DR2 3155368612444708096,LP*|NIR|V*|*|IR|LP?,3155368612444708096
V335Vul,EM* AS  356,C*,Ce,Gaia DR3 2022999316661190272,C* 2728|ASAS J192314+2427.7|Case  452|CGCS 4253|EM* AS  356|GSC 02128-00676|IRAS 19211+2421|Kiso C7-16|LD 120|2MASS J19231415+2427396|MHA 215-33|TIC 90623003|UCAC2  40398272|UCAC4 573-086482|V* V335 Vul|WISEA J192314.13+242739.6|WISE J192314.13+242739.6|[KW97] 37-15|AAVSO 1919+24|Gaia DR3 2022999316661190272|Gaia DR2 2022999316661190272,C*|Mi*|LP*|LP*|LP*|LP*|V*|EmO|NIR|MIR|C*|Em*|*|C*?|IR|LP?,2022999316661190272
